datetime,winter,spring,summer,autumn
2024-01-01 00:00:00,0.07022763067562289,0.059693486074279455,0.04564795993915488,0.056182104540498316
2024-01-01 00:01:00,0.07022763067562289,0.059693486074279455,0.04564795993915488,0.056182104540498316
2024-01-01 00:02:00,0.07059557302533863,0.060006237071537835,0.04588712246647011,0.05647645842027091
2024-01-01 00:03:00,0.07219971192806275,0.06136975513885334,0.04692981275324079,0.057759769542450205
2024-01-01 00:04:00,0.07470755313850334,0.06350142016772783,0.048559909540027174,0.059766042510802676
2024-01-01 00:05:00,0.07739353229142827,0.06578450244771403,0.05030579598942838,0.06191482583314262
2024-01-01 00:06:00,0.07959669928789692,0.06765719439471238,0.051737854537133,0.06367735943031753
2024-01-01 00:07:00,0.08152166597116586,0.06929341607549099,0.05298908288125781,0.06521733277693269
2024-01-01 00:08:00,0.0836829533505937,0.07113051034800465,0.054393919677885906,0.06694636268047496
2024-01-01 00:09:00,0.0857781307631214,0.07291141114865318,0.05575578499602891,0.06862250461049711
2024-01-01 00:10:00,0.09027885706173965,0.0767370285024787,0.05868125709013077,0.07222308564939171
2024-01-01 00:11:00,0.0915828700400698,0.07784543953405933,0.059528865526045374,0.07326629603205585
2024-01-01 00:12:00,0.09278463671560712,0.07886694120826605,0.06031001386514463,0.0742277093724857
2024-01-01 00:13:00,0.09459836272064519,0.08040860831254841,0.06148893576841937,0.07567869017651616
2024-01-01 00:14:00,0.09583372595474307,0.08145866706153161,0.062291921870583,0.07666698076379447
2024-01-01 00:15:00,0.09686418888903844,0.08233456055568268,0.06296172277787498,0.07749135111123076
2024-01-01 00:16:00,0.09788111133370653,0.08319894463365055,0.06362272236690925,0.07830488906696523
2024-01-01 00:17:00,0.10049687174217709,0.08542234098085053,0.0653229666324151,0.08039749739374168
2024-01-01 00:18:00,0.10293647751643163,0.08749600588896689,0.06690871038568057,0.08234918201314531
2024-01-01 00:19:00,0.10678247876479059,0.090765106950072,0.06940861119711389,0.08542598301183248
2024-01-01 00:20:00,0.11511723835548998,0.09784965260216648,0.0748262049310685,0.092093790684392
2024-01-01 00:21:00,0.12282523431849691,0.10440144917072237,0.07983640230702299,0.09826018745479753
2024-01-01 00:22:00,0.12874509613420568,0.10943333171407482,0.0836843124872337,0.10299607690736455
2024-01-01 00:23:00,0.12888470840568783,0.10955200214483465,0.08377506046369709,0.10310776672455027
2024-01-01 00:24:00,0.12919084092775315,0.10981221478859017,0.08397404660303956,0.10335267274220253
2024-01-01 00:25:00,0.12973074282590077,0.11027113140201565,0.08432498283683551,0.10378459426072062
2024-01-01 00:26:00,0.13026754593919776,0.1107274140483181,0.08467390486047854,0.10421403675135821
2024-01-01 00:27:00,0.1307775442348113,0.1111609125995896,0.08500540375262736,0.10462203538784905
2024-01-01 00:28:00,0.13148446170792402,0.11176179245173541,0.08546490011015062,0.10518756936633922
2024-01-01 00:29:00,0.13237040128151628,0.11251484108928883,0.08604076083298559,0.10589632102521303
2024-01-01 00:30:00,0.13323088266648486,0.11324625026651212,0.08660007373321517,0.10658470613318789
2024-01-01 00:31:00,0.13486924024391886,0.11463885420733103,0.08766500615854726,0.1078953921951351
2024-01-01 00:32:00,0.1364605169712389,0.11599143942555307,0.08869933603130528,0.10916841357699113
2024-01-01 00:33:00,0.13795462589844318,0.1172614320136767,0.08967050683398807,0.11036370071875455
2024-01-01 00:34:00,0.13936335717266432,0.11845885359676467,0.09058618216223181,0.11149068573813146
2024-01-01 00:35:00,0.14053116815713232,0.11945149293356247,0.09134525930213601,0.11242493452570586
2024-01-01 00:36:00,0.14171734969451932,0.12045974724034142,0.09211627730143757,0.11337387975561547
2024-01-01 00:37:00,0.14298527829123606,0.12153748654755064,0.09294043088930344,0.11438822263298885
2024-01-01 00:38:00,0.14421752365134116,0.12258489510363998,0.09374139037337176,0.11537401892107293
2024-01-01 00:39:00,0.14534003257635925,0.12353902768990535,0.09447102117463352,0.1162720260610874
2024-01-01 00:40:00,0.14642354454559395,0.12446001286375485,0.09517530395463607,0.11713883563647516
2024-01-01 00:41:00,0.1474987291886615,0.12537391981036228,0.09587417397262998,0.1179989833509292
2024-01-01 00:42:00,0.14854174929977734,0.12626048690481073,0.09655213704485528,0.11883339943982188
2024-01-01 00:43:00,0.14955969293538451,0.12712573899507684,0.09721380040799994,0.11964775434830761
2024-01-01 00:44:00,0.15054705249759567,0.12796499462295632,0.09785558412343719,0.12043764199807655
2024-01-01 00:45:00,0.15143617497590134,0.12872074872951614,0.09843351373433587,0.12114893998072107
2024-01-01 00:46:00,0.15234331255232367,0.12949181566947512,0.09902315315901039,0.12187465004185893
2024-01-01 00:47:00,0.1530171833564419,0.1300646058529756,0.09946116918168724,0.12241374668515353
2024-01-01 00:48:00,0.15377920656867755,0.13071232558337592,0.0999564842696404,0.12302336525494205
2024-01-01 00:49:00,0.15457617079704392,0.13138974517748733,0.10047451101807856,0.12366093663763514
2024-01-01 00:50:00,0.1555174063917974,0.13218979543302778,0.10108631415466832,0.12441392511343792
2024-01-01 00:51:00,0.1557253003165478,0.13236650526906563,0.10122144520575607,0.12458024025323824
2024-01-01 00:52:00,0.15601068878452284,0.1326090854668444,0.10140694770993985,0.12480855102761829
2024-01-01 00:53:00,0.15628052164054426,0.13283844339446263,0.10158233906635378,0.1250244173124354
2024-01-01 00:54:00,0.15712378404639502,0.13355521643943577,0.10213045963015677,0.125699027237116
2024-01-01 00:55:00,0.15801529396606598,0.13431299987115608,0.10270994107794289,0.1264122351728528
